"","exp_stage","image11","image12","click","attn","attn_index","attn_fail","rt","participant_id"
"194","main_trial_57","0967.jpg","0909.jpg","10",0,0,0,3388,"663a5c30a219723353ab4290"
"195","main_trial_58","0219.jpg","attn46.jpg","10",1,1,0,2916,"663a5c30a219723353ab4290"
"196","main_trial_59","0799.jpg","0949.jpg","01",0,0,0,3047,"663a5c30a219723353ab4290"
"197","main_trial_60","0709.jpg","attn25.jpg","10",1,1,0,2177,"663a5c30a219723353ab4290"
"198","main_trial_61","attn44.jpg","0502.jpg","01",1,1,0,1904,"663a5c30a219723353ab4290"
"199","main_trial_62","0420.jpg","0265.jpg","01",0,1,0,6208,"663a5c30a219723353ab4290"
"200","main_trial_63","0153.jpg","0458.jpg","01",0,0,0,3637,"663a5c30a219723353ab4290"
"201","main_trial_64","1073.jpg","0459.jpg","01",0,1,0,3178,"663a5c30a219723353ab4290"
"202","main_trial_65","0602.jpg","0208.jpg","10",0,1,0,4584,"663a5c30a219723353ab4290"
"203","main_trial_66","attn06.jpg","0382.jpg","01",1,1,0,2548,"663a5c30a219723353ab4290"
"204","main_trial_67","0052.jpg","0339.jpg","01",0,1,0,6751,"663a5c30a219723353ab4290"
"205","main_trial_0","0990.jpg","0907.jpg","01",0,0,0,3632,"674fc3c73f79d4a6d15b6b7f"
"206","main_trial_1","0078.jpg","1089.jpg","01",0,0,0,7496,"674fc3c73f79d4a6d15b6b7f"
"207","main_trial_2","0603.jpg","0825.jpg","01",0,0,0,8240,"674fc3c73f79d4a6d15b6b7f"
"208","main_trial_3","1075.jpg","0322.jpg","01",0,0,0,2930,"674fc3c73f79d4a6d15b6b7f"
"209","main_trial_4","attn23.jpg","0238.jpg","10",1,1,1,3096,"674fc3c73f79d4a6d15b6b7f"
"210","main_trial_5","0989.jpg","attn24.jpg","01",1,0,0,2430,"674fc3c73f79d4a6d15b6b7f"
"211","main_trial_6","0549.jpg","0895.jpg","01",0,1,0,8171,"674fc3c73f79d4a6d15b6b7f"
"212","main_trial_7","0770.jpg","0493.jpg","10",0,1,0,6685,"674fc3c73f79d4a6d15b6b7f"
"213","main_trial_8","attn11.jpg","0778.jpg","10",1,0,0,2803,"674fc3c73f79d4a6d15b6b7f"
"214","main_trial_9","1054.jpg","0175.jpg","10",0,0,0,2760,"674fc3c73f79d4a6d15b6b7f"
"215","main_trial_10","0772.jpg","1001.jpg","10",0,1,0,2309,"674fc3c73f79d4a6d15b6b7f"
"216","main_trial_11","0817.jpg","attn33.jpg","01",1,1,1,6576,"674fc3c73f79d4a6d15b6b7f"
"217","main_trial_12","0480.jpg","0881.jpg","01",0,1,0,2166,"674fc3c73f79d4a6d15b6b7f"
"218","main_trial_13","0896.jpg","0761.jpg","01",0,0,0,2734,"674fc3c73f79d4a6d15b6b7f"
"219","main_trial_14","0874.jpg","0866.jpg","01",0,1,0,4233,"674fc3c73f79d4a6d15b6b7f"
"220","main_trial_15","attn49.jpg","0138.jpg","10",1,0,0,2983,"674fc3c73f79d4a6d15b6b7f"
"221","main_trial_16","attn14.jpg","0824.jpg","01",1,1,0,4491,"674fc3c73f79d4a6d15b6b7f"
"222","main_trial_17","0023.jpg","0949.jpg","01",0,1,0,3384,"674fc3c73f79d4a6d15b6b7f"
"223","main_trial_18","0344.jpg","0328.jpg","01",0,0,0,3285,"674fc3c73f79d4a6d15b6b7f"
"224","main_trial_19","0711.jpg","0801.jpg","01",0,1,0,3357,"674fc3c73f79d4a6d15b6b7f"
"225","main_trial_20","0532.jpg","0581.jpg","01",0,0,0,5088,"674fc3c73f79d4a6d15b6b7f"
"226","main_trial_21","attn41.jpg","0129.jpg","01",1,1,0,3384,"674fc3c73f79d4a6d15b6b7f"
"227","main_trial_22","0257.jpg","0354.jpg","01",0,0,0,4759,"674fc3c73f79d4a6d15b6b7f"
"228","main_trial_23","0197.jpg","attn48.jpg","10",1,1,0,3872,"674fc3c73f79d4a6d15b6b7f"
"229","main_trial_24","0830.jpg","0092.jpg","01",0,1,0,2661,"674fc3c73f79d4a6d15b6b7f"
"230","main_trial_25","0942.jpg","0070.jpg","01",0,1,0,4297,"674fc3c73f79d4a6d15b6b7f"
"231","main_trial_26","0438.jpg","1033.jpg","10",0,1,0,4732,"674fc3c73f79d4a6d15b6b7f"
"232","main_trial_27","1056.jpg","0287.jpg","01",0,0,0,2492,"674fc3c73f79d4a6d15b6b7f"
"233","main_trial_28","1013.jpg","0710.jpg","01",0,1,0,3218,"674fc3c73f79d4a6d15b6b7f"
"234","main_trial_29","0225.jpg","0715.jpg","10",0,0,0,3741,"674fc3c73f79d4a6d15b6b7f"
"235","main_trial_30","0653.jpg","0071.jpg","01",0,1,0,6191,"674fc3c73f79d4a6d15b6b7f"
"236","main_trial_31","0528.jpg","attn47.jpg","10",1,1,0,3570,"674fc3c73f79d4a6d15b6b7f"
"237","main_trial_32","0228.jpg","0861.jpg","10",0,0,0,6964,"674fc3c73f79d4a6d15b6b7f"
"238","main_trial_33","0836.jpg","0722.jpg","01",0,0,0,7581,"674fc3c73f79d4a6d15b6b7f"
"239","main_trial_34","0995.jpg","0565.jpg","01",0,1,0,7335,"674fc3c73f79d4a6d15b6b7f"
"240","main_trial_35","0592.jpg","0728.jpg","01",0,0,0,7065,"674fc3c73f79d4a6d15b6b7f"
"241","main_trial_36","1039.jpg","0489.jpg","10",0,1,0,23215,"674fc3c73f79d4a6d15b6b7f"
"242","main_trial_37","0153.jpg","0264.jpg","10",0,1,0,5411,"674fc3c73f79d4a6d15b6b7f"
"243","main_trial_38","0793.jpg","0332.jpg","01",0,1,0,3754,"674fc3c73f79d4a6d15b6b7f"
"244","main_trial_39","0812.jpg","0798.jpg","10",0,0,0,4089,"674fc3c73f79d4a6d15b6b7f"
"245","main_trial_40","attn34.jpg","0815.jpg","01",1,1,0,3243,"674fc3c73f79d4a6d15b6b7f"
"246","main_trial_41","0409.jpg","0589.jpg","01",0,0,0,4381,"674fc3c73f79d4a6d15b6b7f"
"247","main_trial_42","0301.jpg","0414.jpg","10",0,0,0,4924,"674fc3c73f79d4a6d15b6b7f"
"248","main_trial_43","0794.jpg","0806.jpg","10",0,0,0,6813,"674fc3c73f79d4a6d15b6b7f"
"249","main_trial_44","0236.jpg","0454.jpg","10",0,1,0,5522,"674fc3c73f79d4a6d15b6b7f"
"250","main_trial_45","attn35.jpg","0977.jpg","01",1,1,0,3210,"674fc3c73f79d4a6d15b6b7f"
"251","main_trial_46","0697.jpg","0859.jpg","01",0,0,0,6258,"674fc3c73f79d4a6d15b6b7f"
"252","main_trial_47","0600.jpg","0280.jpg","10",0,1,0,7749,"674fc3c73f79d4a6d15b6b7f"
"253","main_trial_48","0476.jpg","0048.jpg","01",0,0,0,7909,"674fc3c73f79d4a6d15b6b7f"
"254","main_trial_49","0734.jpg","0341.jpg","01",0,1,0,2933,"674fc3c73f79d4a6d15b6b7f"
"255","main_trial_50","0504.jpg","0101.jpg","01",0,0,0,4818,"674fc3c73f79d4a6d15b6b7f"
"256","main_trial_51","0644.jpg","1055.jpg","10",0,0,0,5032,"674fc3c73f79d4a6d15b6b7f"
"257","main_trial_52","attn30.jpg","1045.jpg","01",1,1,0,3485,"674fc3c73f79d4a6d15b6b7f"
"258","main_trial_53","0519.jpg","0550.jpg","01",0,0,0,5032,"674fc3c73f79d4a6d15b6b7f"
"259","main_trial_54","0298.jpg","1027.jpg","01",0,0,0,6552,"674fc3c73f79d4a6d15b6b7f"
