"","exp_stage","image11","image12","click","attn","attn_index","attn_fail","rt","participant_id"
"179","main_trial_42","0327.jpg","1030.jpg","10",0,0,0,2981,"6673beb472e3c2b594f05d39"
"180","main_trial_43","1097.jpg","attn30.jpg","01",1,0,0,3451,"6673beb472e3c2b594f05d39"
"181","main_trial_44","0158.jpg","0017.jpg","01",0,0,0,3914,"6673beb472e3c2b594f05d39"
"182","main_trial_45","attn37.jpg","0008.jpg","01",1,1,0,2598,"6673beb472e3c2b594f05d39"
"183","main_trial_46","attn01.jpg","0064.jpg","01",1,1,0,2647,"6673beb472e3c2b594f05d39"
"184","main_trial_47","0740.jpg","0588.jpg","10",0,1,0,2681,"6673beb472e3c2b594f05d39"
"185","main_trial_48","0816.jpg","0821.jpg","01",0,1,0,3102,"6673beb472e3c2b594f05d39"
"186","main_trial_49","0609.jpg","0482.jpg","10",0,0,0,2765,"6673beb472e3c2b594f05d39"
"187","main_trial_50","0311.jpg","0683.jpg","10",0,0,0,4147,"6673beb472e3c2b594f05d39"
"188","main_trial_51","0499.jpg","attn04.jpg","01",1,0,0,2833,"6673beb472e3c2b594f05d39"
"189","main_trial_52","0275.jpg","0503.jpg","10",0,1,0,3548,"6673beb472e3c2b594f05d39"
"190","main_trial_53","1005.jpg","0130.jpg","10",0,0,0,1697,"6673beb472e3c2b594f05d39"
"191","main_trial_54","1091.jpg","0344.jpg","01",0,1,0,2466,"6673beb472e3c2b594f05d39"
"192","main_trial_55","0370.jpg","0320.jpg","01",0,1,0,3531,"6673beb472e3c2b594f05d39"
"193","main_trial_56","0197.jpg","0312.jpg","01",0,1,0,1964,"6673beb472e3c2b594f05d39"
"194","main_trial_57","0852.jpg","0642.jpg","01",0,1,0,2381,"6673beb472e3c2b594f05d39"
"195","main_trial_58","attn33.jpg","0121.jpg","01",1,1,0,2497,"6673beb472e3c2b594f05d39"
"196","main_trial_59","0117.jpg","0210.jpg","01",0,0,0,4148,"6673beb472e3c2b594f05d39"
"197","main_trial_60","0328.jpg","0903.jpg","01",0,0,0,5663,"6673beb472e3c2b594f05d39"
"198","main_trial_61","0406.jpg","attn31.jpg","01",1,0,0,2465,"6673beb472e3c2b594f05d39"
"199","main_trial_62","attn02.jpg","0486.jpg","01",1,1,0,2414,"6673beb472e3c2b594f05d39"
"200","main_trial_63","0929.jpg","0346.jpg","10",0,0,0,5198,"6673beb472e3c2b594f05d39"
"201","main_trial_64","0568.jpg","attn36.jpg","01",1,0,0,2731,"6673beb472e3c2b594f05d39"
"202","main_trial_65","0798.jpg","0215.jpg","10",0,0,0,3897,"6673beb472e3c2b594f05d39"
"203","main_trial_66","0026.jpg","0381.jpg","10",0,1,0,4049,"6673beb472e3c2b594f05d39"
"204","main_trial_67","0219.jpg","1033.jpg","01",0,1,0,2448,"6673beb472e3c2b594f05d39"
"205","main_trial_0","0359.jpg","attn31.jpg","01",1,0,0,5523,"66327883ca4a6f78c437185a"
"206","main_trial_1","attn27.jpg","0693.jpg","10",1,0,0,4053,"66327883ca4a6f78c437185a"
"207","main_trial_2","0738.jpg","0620.jpg","01",0,0,0,6239,"66327883ca4a6f78c437185a"
"208","main_trial_3","0581.jpg","0119.jpg","10",0,0,0,6861,"66327883ca4a6f78c437185a"
"209","main_trial_4","0021.jpg","0457.jpg","10",0,0,0,12356,"66327883ca4a6f78c437185a"
"210","main_trial_5","0517.jpg","0019.jpg","10",0,1,0,6130,"66327883ca4a6f78c437185a"
"211","main_trial_6","0667.jpg","0573.jpg","01",0,1,0,9772,"66327883ca4a6f78c437185a"
"212","main_trial_7","0360.jpg","0205.jpg","10",0,1,0,5926,"66327883ca4a6f78c437185a"
"213","main_trial_8","0843.jpg","0080.jpg","01",0,0,0,7487,"66327883ca4a6f78c437185a"
"214","main_trial_9","0191.jpg","0960.jpg","01",0,0,0,5062,"66327883ca4a6f78c437185a"
"215","main_trial_10","0886.jpg","0627.jpg","10",0,0,0,3606,"66327883ca4a6f78c437185a"
"216","main_trial_11","attn00.jpg","0724.jpg","10",1,0,0,4494,"66327883ca4a6f78c437185a"
"217","main_trial_12","0295.jpg","0813.jpg","01",0,0,0,3437,"66327883ca4a6f78c437185a"
"218","main_trial_13","0305.jpg","0950.jpg","10",0,0,0,6586,"66327883ca4a6f78c437185a"
"219","main_trial_14","0246.jpg","0613.jpg","01",0,0,0,3278,"66327883ca4a6f78c437185a"
"220","main_trial_15","0625.jpg","0501.jpg","01",0,0,0,4866,"66327883ca4a6f78c437185a"
"221","main_trial_16","0459.jpg","0677.jpg","10",0,1,0,3384,"66327883ca4a6f78c437185a"
"222","main_trial_17","0361.jpg","1040.jpg","01",0,0,0,8985,"66327883ca4a6f78c437185a"
"223","main_trial_18","0994.jpg","0787.jpg","01",0,1,0,4264,"66327883ca4a6f78c437185a"
"224","main_trial_19","0031.jpg","0897.jpg","01",0,0,0,3273,"66327883ca4a6f78c437185a"
"225","main_trial_20","0258.jpg","0331.jpg","10",0,1,0,4592,"66327883ca4a6f78c437185a"
"226","main_trial_21","0747.jpg","0716.jpg","10",0,0,0,3405,"66327883ca4a6f78c437185a"
"227","main_trial_22","1083.jpg","0032.jpg","10",0,0,0,6529,"66327883ca4a6f78c437185a"
"228","main_trial_23","0536.jpg","0519.jpg","10",0,0,0,4471,"66327883ca4a6f78c437185a"
"229","main_trial_24","0154.jpg","0651.jpg","10",0,0,0,4976,"66327883ca4a6f78c437185a"
"230","main_trial_25","0549.jpg","0532.jpg","10",0,1,0,4727,"66327883ca4a6f78c437185a"
"231","main_trial_26","attn25.jpg","0391.jpg","10",1,0,0,4050,"66327883ca4a6f78c437185a"
"232","main_trial_27","0976.jpg","0916.jpg","01",0,1,0,4414,"66327883ca4a6f78c437185a"
"233","main_trial_28","0823.jpg","0957.jpg","01",0,1,0,3502,"66327883ca4a6f78c437185a"
"234","main_trial_29","0962.jpg","0765.jpg","10",0,0,0,4406,"66327883ca4a6f78c437185a"
"235","main_trial_30","0157.jpg","0022.jpg","10",0,1,0,4932,"66327883ca4a6f78c437185a"
"236","main_trial_31","0372.jpg","0925.jpg","01",0,0,0,3130,"66327883ca4a6f78c437185a"
"237","main_trial_32","0914.jpg","0873.jpg","10",0,1,0,3354,"66327883ca4a6f78c437185a"
"238","main_trial_33","0802.jpg","attn13.jpg","10",1,1,0,5502,"66327883ca4a6f78c437185a"
"239","main_trial_34","0171.jpg","0200.jpg","10",0,1,0,3331,"66327883ca4a6f78c437185a"
"240","main_trial_35","0249.jpg","0757.jpg","10",0,0,0,2913,"66327883ca4a6f78c437185a"
"241","main_trial_36","0037.jpg","0090.jpg","10",0,0,0,3699,"66327883ca4a6f78c437185a"
"242","main_trial_37","attn22.jpg","0197.jpg","10",1,0,0,3604,"66327883ca4a6f78c437185a"
"243","main_trial_38","0503.jpg","0210.jpg","10",0,1,0,3922,"66327883ca4a6f78c437185a"
"244","main_trial_39","0803.jpg","attn34.jpg","01",1,0,0,3230,"66327883ca4a6f78c437185a"
"245","main_trial_40","0658.jpg","0026.jpg","10",0,1,0,3490,"66327883ca4a6f78c437185a"
"246","main_trial_41","1076.jpg","0484.jpg","10",0,1,0,4150,"66327883ca4a6f78c437185a"
"247","main_trial_42","0266.jpg","attn07.jpg","01",1,0,0,3086,"66327883ca4a6f78c437185a"
"248","main_trial_43","0239.jpg","0687.jpg","10",0,1,0,3430,"66327883ca4a6f78c437185a"
"249","main_trial_44","0310.jpg","0518.jpg","01",0,1,0,4249,"66327883ca4a6f78c437185a"
"250","main_trial_45","0321.jpg","0654.jpg","01",0,1,0,2954,"66327883ca4a6f78c437185a"
"251","main_trial_46","attn30.jpg","0423.jpg","01",1,1,0,3644,"66327883ca4a6f78c437185a"
"252","main_trial_47","0217.jpg","0922.jpg","01",0,0,0,3286,"66327883ca4a6f78c437185a"
"253","main_trial_48","0094.jpg","0134.jpg","10",0,0,0,5714,"66327883ca4a6f78c437185a"
"254","main_trial_49","0920.jpg","0135.jpg","01",0,0,0,3390,"66327883ca4a6f78c437185a"
"255","main_trial_50","0590.jpg","0875.jpg","10",0,1,0,3392,"66327883ca4a6f78c437185a"
