"","participant_id","exp_stage","image","position","response"
"360","663133329c295a5660a77567","main_trial_3","0978.jpg",7,"1"
"361","663133329c295a5660a77567","main_trial_3","0544.jpg",8,"0"
"362","663133329c295a5660a77567","main_trial_3","0522.jpg",9,"0"
"363","663133329c295a5660a77567","main_trial_3","0215.jpg",11,"0"
"364","663133329c295a5660a77567","main_trial_3","0726.jpg",12,"0"
"365","663133329c295a5660a77567","main_trial_4","0089.jpg",1,"0"
"366","663133329c295a5660a77567","main_trial_4","1081.jpg",2,"0"
"367","663133329c295a5660a77567","main_trial_4","0342.jpg",3,"0"
"368","663133329c295a5660a77567","main_trial_4","0721.jpg",4,"0"
"369","663133329c295a5660a77567","main_trial_4","0110.jpg",5,"0"
"370","663133329c295a5660a77567","main_trial_4","0206.jpg",6,"1"
"371","663133329c295a5660a77567","main_trial_4","0205.jpg",7,"0"
"372","663133329c295a5660a77567","main_trial_4","0803.jpg",8,"1"
